Sim. cycle     : 4
Eruption start : 2021-02-16 16:30:00
Eruption end   : 2021-02-17 00:30:00
Runtime  start : 2021-02-16 22:30:00
Runtime  end   : 2021-02-17 00:30:00

Meteo data : 36
Eruptive scenarios : 36
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 6487.0 |  0.108   |     2.89    |
| 6408.0 |  0.575   |    3.424    |
| 5907.0 |  -0.266  |    3.269    |
| 5709.0 |  0.192   |    2.977    |
| 6341.0 |  -0.342  |    2.012    |
| 5548.0 |  -0.563  |    2.996    |
| 4763.0 |  -0.87   |    1.498    |
| 6211.0 |  1.312   |    2.176    |
| 5839.0 |  1.028   |    2.615    |
| 6820.0 |  0.842   |    1.299    |
| 6161.0 |  -0.154  |    2.436    |
| 6006.0 |   0.98   |    1.543    |
| 6282.0 |  -1.48   |    1.407    |
| 5515.0 |  -0.021  |    0.946    |
| 5447.0 |  0.397   |    2.539    |
| 6471.0 |  -0.134  |    2.704    |
| 6588.0 |  0.466   |    0.976    |
| 5763.0 |  1.695   |    2.419    |
| 5942.0 |  -1.383  |    1.795    |
| 6091.0 |  1.955   |    3.316    |
| 5608.0 |   1.86   |     1.62    |
| 6729.0 |  -1.081  |     3.54    |
| 5097.0 |  -0.757  |     3.51    |
| 6118.0 |  0.318   |    1.871    |
| 6311.0 |  -1.301  |    3.112    |
| 6613.0 |  1.183   |    1.937    |
| 5861.0 |  -0.662  |    1.679    |
| 5986.0 |  0.691   |     2.08    |
| 6977.0 |  0.749   |    3.144    |
| 5659.0 |  1.431   |     0.82    |
| 5286.0 |  1.596   |    2.353    |
| 5689.0 |  1.719   |    2.232    |
| 5311.0 |  -0.457  |     1.07    |
| 6228.0 |  1.371   |    2.757    |
| 6065.0 |  -1.16   |     1.25    |
| 5804.0 |  -1.005  |    1.175    |
+--------+----------+-------------+
* Plume height above sea level
