Sim. cycle     : 3
Eruption start : 2021-02-16 16:30:00
Eruption end   : 2021-02-17 01:30:00
Runtime  start : 2021-02-16 22:30:00
Runtime  end   : 2021-02-17 01:30:00

Meteo data : 36
Eruptive scenarios : 36
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 5570.0 |  -0.554  |    1.104    |
| 5941.0 |  1.975   |    3.568    |
| 6804.0 |  0.409   |    3.129    |
| 7168.0 |  -0.511  |    3.403    |
| 5146.0 |  -0.886  |    2.906    |
| 6144.0 |  1.096   |    3.007    |
| 5700.0 |  1.398   |    1.366    |
| 6285.0 |  -0.334  |    1.562    |
| 5520.0 |  0.476   |    1.332    |
| 6298.0 |  1.318   |    2.658    |
| 5777.0 |  -0.066  |    2.313    |
| 6739.0 |  -1.365  |    2.828    |
| 6198.0 |  -1.005  |    1.844    |
| 6374.0 |  0.687   |    1.119    |
| 5856.0 |  -1.253  |    2.274    |
| 4410.0 |  -0.153  |    1.688    |
| 5623.0 |  0.342   |    1.242    |
| 6450.0 |  0.007   |    2.031    |
| 5966.0 |  -0.258  |    2.516    |
| 6055.0 |  -1.443  |    1.029    |
| 6011.0 |  0.845   |    1.471    |
| 5256.0 |  0.143   |    0.928    |
| 5342.0 |  0.619   |    3.454    |
| 5404.0 |  1.589   |     1.76    |
| 5717.0 |  -0.654  |    3.163    |
| 6542.0 |  -1.104  |    2.495    |
| 6132.0 |  0.241   |    2.678    |
| 5927.0 |  1.699   |    2.752    |
| 6080.0 |   1.49   |    2.408    |
| 5886.0 |  1.709   |    1.636    |
| 6386.0 |  0.991   |    2.075    |
| 5799.0 |  -1.115  |    1.897    |
| 6548.0 |  1.817   |    3.255    |
| 5458.0 |  -0.74   |    2.129    |
| 6643.0 |  1.194   |    0.873    |
| 6229.0 |  0.779   |    3.298    |
+--------+----------+-------------+
* Plume height above sea level
