Sim. cycle     : 2
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 04:30:00
Runtime  start : 2021-03-04 03:30:00
Runtime  end   : 2021-03-04 04:30:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 4866.0 |  -0.419  |    3.394    |
| 4915.0 |  1.356   |    3.033    |
| 4953.0 |  0.736   |     1.88    |
| 5576.0 |  -1.405  |    3.173    |
| 4292.0 |  0.093   |    2.761    |
| 3946.0 |  0.576   |    3.141    |
| 5190.0 |  0.785   |    1.839    |
| 4825.0 |  1.423   |    1.168    |
| 4206.0 |  1.817   |    2.171    |
| 5221.0 |  1.469   |    3.433    |
| 5633.0 |  -0.763  |    0.872    |
| 5540.0 |  -0.539  |    1.099    |
| 5448.0 |  0.943   |    3.306    |
| 5123.0 |  -1.175  |    3.576    |
| 5294.0 |  -0.497  |    1.951    |
| 4088.0 |  0.113   |    2.278    |
| 5029.0 |  -0.281  |    2.873    |
| 5002.0 |  1.274   |    1.502    |
| 4461.0 |  -0.686  |    3.371    |
| 4649.0 |  -0.001  |    2.715    |
| 5332.0 |  -0.048  |    1.743    |
| 4431.0 |  1.657   |     1.99    |
| 4402.0 |  0.876   |    2.433    |
| 4767.0 |  -0.313  |     1.25    |
| 5066.0 |  1.997   |    1.063    |
| 4544.0 |  1.068   |    1.762    |
| 4514.0 |  1.149   |    2.396    |
| 5686.0 |  -1.448  |    2.618    |
| 4724.0 |  -1.073  |    2.935    |
| 4813.0 |  -0.899  |    0.996    |
| 5168.0 |  1.866   |     2.67    |
| 4584.0 |  0.504   |    2.227    |
| 5085.0 |  -0.977  |     2.82    |
| 5464.0 |  1.778   |    2.315    |
| 6545.0 |  -0.124  |     2.09    |
| 5863.0 |  0.434   |    3.056    |
| 5129.0 |  -0.623  |    1.222    |
| 4698.0 |  -1.303  |     3.26    |
| 5410.0 |  1.534   |    2.568    |
| 5380.0 |  0.284   |    1.324    |
| 6008.0 |  -0.812  |    1.421    |
| 4934.0 |   0.35   |    1.403    |
| 5264.0 |   1.18   |    2.033    |
| 4898.0 |  -0.222  |    1.644    |
| 4996.0 |  0.645   |    0.961    |
| 4621.0 |  -1.088  |    0.839    |
| 5261.0 |  0.957   |    2.481    |
| 4348.0 |  -1.254  |    1.629    |
| 4746.0 |   1.61   |    1.583    |
| 5738.0 |  0.229   |    3.506    |
+--------+----------+-------------+
* Plume height above sea level
