Sim. cycle     : 4
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 08:30:00
Runtime  start : 2021-03-04 05:30:00
Runtime  end   : 2021-03-04 08:30:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 6088.0 |  1.119   |    1.524    |
| 4212.0 |  -0.611  |    1.942    |
| 4764.0 |  -0.899  |    1.909    |
| 5708.0 |  -0.385  |    2.873    |
| 5023.0 |  -0.147  |    2.096    |
| 4835.0 |  -0.579  |    3.321    |
| 3751.0 |  0.466   |    2.424    |
| 4873.0 |  1.917   |    0.975    |
| 4726.0 |  -1.164  |    1.394    |
| 5041.0 |  0.142   |     2.53    |
| 6006.0 |  -0.49   |    3.046    |
| 5658.0 |  0.215   |    1.801    |
| 5192.0 |  -0.246  |     1.56    |
| 4797.0 |   0.78   |    2.538    |
| 4372.0 |   1.57   |     2.32    |
| 5267.0 |  -1.336  |    1.166    |
| 5793.0 |  1.627   |    1.995    |
| 5086.0 |   1.21   |    1.202    |
| 5055.0 |  1.046   |    1.665    |
| 4232.0 |  0.963   |    2.293    |
| 5489.0 |  1.957   |    1.625    |
| 4600.0 |  -0.986  |    2.808    |
| 5387.0 |  0.572   |    2.057    |
| 5445.0 |  1.447   |    1.313    |
| 5146.0 |  0.683   |    3.254    |
| 4443.0 |  -1.231  |    2.965    |
| 4979.0 |  0.908   |    2.596    |
| 4665.0 |  -0.199  |    1.032    |
| 3980.0 |  -1.483  |     1.83    |
| 4471.0 |  -0.765  |    1.468    |
| 5574.0 |  1.831   |    3.377    |
| 4700.0 |  1.301   |     1.12    |
| 5507.0 |  -1.39   |    2.428    |
| 5358.0 |  0.457   |    0.958    |
| 5158.0 |  1.735   |    2.735    |
| 4933.0 |  0.275   |    2.831    |
| 5608.0 |  -0.311  |    2.167    |
| 4560.0 |  -0.804  |    0.842    |
| 4769.0 |  -1.031  |    3.507    |
| 4955.0 |  -0.669  |    2.997    |
| 4913.0 |  0.842   |    3.133    |
| 5246.0 |  1.246   |    3.456    |
| 5228.0 |  1.713   |    0.899    |
| 4539.0 |  -1.099  |    2.233    |
| 5114.0 |  0.615   |     1.27    |
| 5342.0 |  0.321   |    2.677    |
| 5320.0 |  -0.077  |    3.577    |
| 4323.0 |  0.034   |    3.275    |
| 4849.0 |  1.382   |    1.743    |
| 4615.0 |  0.092   |    3.166    |
+--------+----------+-------------+
* Plume height above sea level
