Sim. cycle     : 2002
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 10:20:00
Runtime  start : 2021-03-04 10:20:00
Runtime  end   : 2021-03-04 13:20:00

Meteo data : 50
Eruptive scenarios : 50
+---------+----------+-------------+
|  H [m]* | MU [phi] | SIGMA [phi] |
+---------+----------+-------------+
| 10866.0 |  -0.419  |    3.394    |
| 10915.0 |  1.356   |    3.033    |
| 10953.0 |  0.736   |     1.88    |
| 11576.0 |  -1.405  |    3.173    |
| 10292.0 |  0.093   |    2.761    |
|  9946.0 |  0.576   |    3.141    |
| 11190.0 |  0.785   |    1.839    |
| 10825.0 |  1.423   |    1.168    |
| 10206.0 |  1.817   |    2.171    |
| 11221.0 |  1.469   |    3.433    |
| 11633.0 |  -0.763  |    0.872    |
| 11540.0 |  -0.539  |    1.099    |
| 11448.0 |  0.943   |    3.306    |
| 11123.0 |  -1.175  |    3.576    |
| 11294.0 |  -0.497  |    1.951    |
| 10088.0 |  0.113   |    2.278    |
| 11029.0 |  -0.281  |    2.873    |
| 11002.0 |  1.274   |    1.502    |
| 10461.0 |  -0.686  |    3.371    |
| 10649.0 |  -0.001  |    2.715    |
| 11332.0 |  -0.048  |    1.743    |
| 10431.0 |  1.657   |     1.99    |
| 10402.0 |  0.876   |    2.433    |
| 10767.0 |  -0.313  |     1.25    |
| 11066.0 |  1.997   |    1.063    |
| 10544.0 |  1.068   |    1.762    |
| 10514.0 |  1.149   |    2.396    |
| 11686.0 |  -1.448  |    2.618    |
| 10724.0 |  -1.073  |    2.935    |
| 10813.0 |  -0.899  |    0.996    |
| 11168.0 |  1.866   |     2.67    |
| 10584.0 |  0.504   |    2.227    |
| 11085.0 |  -0.977  |     2.82    |
| 11464.0 |  1.778   |    2.315    |
| 12545.0 |  -0.124  |     2.09    |
| 11863.0 |  0.434   |    3.056    |
| 11129.0 |  -0.623  |    1.222    |
| 10698.0 |  -1.303  |     3.26    |
| 11410.0 |  1.534   |    2.568    |
| 11380.0 |  0.284   |    1.324    |
| 12008.0 |  -0.812  |    1.421    |
| 10934.0 |   0.35   |    1.403    |
| 11264.0 |   1.18   |    2.033    |
| 10898.0 |  -0.222  |    1.644    |
| 10996.0 |  0.645   |    0.961    |
| 10621.0 |  -1.088  |    0.839    |
| 11261.0 |  0.957   |    2.481    |
| 10348.0 |  -1.254  |    1.629    |
| 10746.0 |   1.61   |    1.583    |
| 11738.0 |  0.229   |    3.506    |
+---------+----------+-------------+
* Plume height above sea level
