Sim. cycle     : 1005
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 10:20:00
Runtime  start : 2021-03-04 09:20:00
Runtime  end   : 2021-03-04 10:20:00

Meteo data : 50
Eruptive scenarios : 50
+---------+----------+-------------+
|  H [m]* | MU [phi] | SIGMA [phi] |
+---------+----------+-------------+
| 10987.0 |  -0.815  |    1.322    |
| 10463.0 |  0.018   |    1.824    |
| 11250.0 |  0.363   |    2.253    |
| 10909.0 |  0.402   |    0.852    |
| 11693.0 |  -0.406  |    3.414    |
| 11212.0 |  -0.215  |    3.563    |
| 11183.0 |  -1.451  |    0.907    |
| 12349.0 |  -0.258  |     2.49    |
| 11572.0 |  1.265   |    1.071    |
| 11342.0 |  1.129   |    1.394    |
| 11025.0 |  1.348   |    1.502    |
| 10949.0 |  -1.16   |    2.037    |
| 11491.0 |  -0.031  |    1.082    |
| 11429.0 |  -0.961  |    1.266    |
|  9420.0 |  1.636   |    3.044    |
| 10601.0 |  0.223   |    1.021    |
| 11056.0 |   0.67   |    2.605    |
| 11764.0 |  0.598   |    2.861    |
| 10874.0 |  0.172   |     2.81    |
| 10855.0 |  -0.534  |    1.988    |
| 10292.0 |  1.711   |    3.441    |
| 10328.0 |  -1.39   |    2.575    |
| 10719.0 |  -0.154  |    2.473    |
| 11411.0 |   1.08   |    2.324    |
| 10532.0 |  1.939   |    3.301    |
| 10563.0 |  1.186   |    1.944    |
| 10441.0 |   1.55   |    3.223    |
| 10824.0 |  -0.935  |    0.929    |
| 10377.0 |  -0.599  |    1.143    |
| 10752.0 |  -1.311  |    1.866    |
| 10129.0 |  -0.326  |    3.171    |
| 11320.0 |  -1.222  |    1.584    |
| 10960.0 |  1.498   |    2.989    |
| 11834.0 |  0.848   |    3.123    |
| 10793.0 |  0.266   |    2.943    |
| 11041.0 |  0.095   |    2.388    |
| 11522.0 |  1.405   |    1.719    |
| 11163.0 |  0.723   |     3.36    |
| 11634.0 |  -0.466  |    1.211    |
| 12003.0 |  -1.092  |    2.285    |
| 10622.0 |  0.797   |    1.689    |
| 11080.0 |  -0.738  |     3.49    |
| 10648.0 |  1.921   |    1.765    |
| 10707.0 |  -1.064  |    1.465    |
| 10008.0 |  1.843   |    2.141    |
| 11270.0 |  0.886   |    2.153    |
| 10805.0 |  0.959   |    2.753    |
| 11151.0 |  -0.728  |    2.681    |
| 11366.0 |  0.515   |    1.607    |
| 11102.0 |  1.769   |    2.877    |
+---------+----------+-------------+
* Plume height above sea level
