Sim. cycle     : 5
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 11:30:00
Runtime  start : 2021-03-04 08:30:00
Runtime  end   : 2021-03-04 11:30:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 4987.0 |  -0.815  |    1.322    |
| 4463.0 |  0.018   |    1.824    |
| 5250.0 |  0.363   |    2.253    |
| 4909.0 |  0.402   |    0.852    |
| 5693.0 |  -0.406  |    3.414    |
| 5212.0 |  -0.215  |    3.563    |
| 5183.0 |  -1.451  |    0.907    |
| 6349.0 |  -0.258  |     2.49    |
| 5572.0 |  1.265   |    1.071    |
| 5342.0 |  1.129   |    1.394    |
| 5025.0 |  1.348   |    1.502    |
| 4949.0 |  -1.16   |    2.037    |
| 5491.0 |  -0.031  |    1.082    |
| 5429.0 |  -0.961  |    1.266    |
| 3420.0 |  1.636   |    3.044    |
| 4601.0 |  0.223   |    1.021    |
| 5056.0 |   0.67   |    2.605    |
| 5764.0 |  0.598   |    2.861    |
| 4874.0 |  0.172   |     2.81    |
| 4855.0 |  -0.534  |    1.988    |
| 4292.0 |  1.711   |    3.441    |
| 4328.0 |  -1.39   |    2.575    |
| 4719.0 |  -0.154  |    2.473    |
| 5411.0 |   1.08   |    2.324    |
| 4532.0 |  1.939   |    3.301    |
| 4563.0 |  1.186   |    1.944    |
| 4441.0 |   1.55   |    3.223    |
| 4824.0 |  -0.935  |    0.929    |
| 4377.0 |  -0.599  |    1.143    |
| 4752.0 |  -1.311  |    1.866    |
| 4129.0 |  -0.326  |    3.171    |
| 5320.0 |  -1.222  |    1.584    |
| 4960.0 |  1.498   |    2.989    |
| 5834.0 |  0.848   |    3.123    |
| 4793.0 |  0.266   |    2.943    |
| 5041.0 |  0.095   |    2.388    |
| 5522.0 |  1.405   |    1.719    |
| 5163.0 |  0.723   |     3.36    |
| 5634.0 |  -0.466  |    1.211    |
| 6003.0 |  -1.092  |    2.285    |
| 4622.0 |  0.797   |    1.689    |
| 5080.0 |  -0.738  |     3.49    |
| 4648.0 |  1.921   |    1.765    |
| 4707.0 |  -1.064  |    1.465    |
| 4008.0 |  1.843   |    2.141    |
| 5270.0 |  0.886   |    2.153    |
| 4805.0 |  0.959   |    2.753    |
| 5151.0 |  -0.728  |    2.681    |
| 5366.0 |  0.515   |    1.607    |
| 5102.0 |  1.769   |    2.877    |
+--------+----------+-------------+
* Plume height above sea level
