Sim. cycle     : 2003
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 10:20:00
Runtime  start : 2021-03-04 13:20:00
Runtime  end   : 2021-03-04 16:20:00

Meteo data : 50
Eruptive scenarios : 50
+---------+----------+-------------+
|  H [m]* | MU [phi] | SIGMA [phi] |
+---------+----------+-------------+
| 11225.0 |  -0.189  |    2.019    |
| 12007.0 |   0.88   |    3.221    |
| 10760.0 |  1.817   |     2.12    |
| 11244.0 |  -1.016  |    1.262    |
| 10448.0 |  -0.405  |    1.443    |
| 10810.0 |  -1.25   |    1.518    |
| 11410.0 |  1.903   |    1.685    |
|  9855.0 |  0.218   |    1.375    |
| 10983.0 |  0.679   |     3.06    |
| 11355.0 |  -0.051  |    3.026    |
| 11505.0 |  0.029   |    1.353    |
| 10708.0 |  0.846   |    3.199    |
| 10553.0 |  0.369   |    2.366    |
| 10926.0 |  0.278   |    3.284    |
| 10300.0 |  -0.957  |    0.934    |
| 10615.0 |  1.377   |    2.279    |
| 10673.0 |  1.953   |     1.11    |
| 10491.0 |  -0.265  |    1.169    |
| 11091.0 |  -0.695  |    1.881    |
| 11030.0 |  0.554   |    2.815    |
| 11176.0 |  0.426   |    3.353    |
| 10823.0 |  1.547   |    3.409    |
| 11015.0 |  1.361   |    0.911    |
| 10791.0 |  0.125   |    2.657    |
| 12163.0 |  -0.486  |    3.451    |
| 11188.0 |  1.759   |    2.414    |
| 10726.0 |  0.476   |    1.751    |
| 11680.0 |  -0.337  |    2.912    |
| 11544.0 |  -0.926  |    0.823    |
| 11072.0 |   1.17   |    1.608    |
| 10859.0 |  0.637   |     2.5     |
| 10098.0 |  -1.488  |    2.067    |
| 11756.0 |  -0.106  |    2.619    |
| 11345.0 |  1.684   |    2.554    |
| 11422.0 |  1.613   |    3.137    |
| 11265.0 |  -1.396  |    1.213    |
| 11308.0 |  1.289   |    1.783    |
| 11473.0 |  0.043   |    2.935    |
| 10165.0 |  -1.211  |     2.17    |
| 10513.0 |  -0.855  |    0.972    |
| 10959.0 |  -1.102  |    2.239    |
| 11141.0 |  0.746   |    3.502    |
| 11605.0 |  -1.308  |    1.839    |
| 10606.0 |  1.479   |    1.025    |
| 11110.0 |  -0.638  |    3.596    |
| 10286.0 |  0.992   |    1.965    |
| 11829.0 |  -0.797  |    2.753    |
| 10363.0 |  1.085   |    2.426    |
| 10887.0 |  1.127   |    1.572    |
| 10911.0 |  -0.584  |    2.829    |
+---------+----------+-------------+
* Plume height above sea level
