Sim. cycle     : 1006
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 11:20:00
Runtime  start : 2021-03-04 10:20:00
Runtime  end   : 2021-03-04 11:20:00

Meteo data : 50
Eruptive scenarios : 50
+---------+----------+-------------+
|  H [m]* | MU [phi] | SIGMA [phi] |
+---------+----------+-------------+
| 11618.0 |  0.116   |    1.489    |
| 11069.0 |  1.463   |    1.793    |
| 10219.0 |   1.52   |    0.855    |
| 10280.0 |  0.063   |    2.458    |
| 10581.0 |  -0.821  |    1.698    |
| 11277.0 |  1.342   |    2.764    |
| 11727.0 |  -0.667  |    2.671    |
| 10517.0 |  -0.477  |    3.278    |
| 11467.0 |  -0.147  |    2.839    |
| 12732.0 |  -1.004  |     1.89    |
| 11442.0 |  1.898   |    2.517    |
| 10457.0 |  1.206   |    1.977    |
| 10900.0 |  -0.346  |    2.291    |
| 10090.0 |  -1.296  |    1.166    |
| 10788.0 |  -1.075  |    2.985    |
| 10837.0 |  0.496   |     3.48    |
| 10732.0 |  0.558   |    0.974    |
| 11571.0 |  -0.279  |    2.111    |
| 11662.0 |   1.29   |    3.557    |
| 11356.0 |  -0.019  |    2.062    |
| 11843.0 |  1.646   |     3.42    |
| 10893.0 |  0.864   |     2.34    |
| 11036.0 |  0.379   |    1.051    |
| 10498.0 |  1.386   |    1.449    |
| 11179.0 |  1.027   |    3.354    |
| 10550.0 |  1.131   |    3.233    |
| 10798.0 |  1.821   |    1.123    |
| 10757.0 |  -0.753  |    2.945    |
| 11516.0 |   0.69   |    1.673    |
| 10666.0 |  0.924   |    3.145    |
| 11102.0 |  -0.039  |    3.062    |
| 11340.0 |  0.979   |     3.49    |
| 11400.0 |  -0.617  |    0.953    |
| 10941.0 |  1.939   |    1.303    |
| 11142.0 |  1.757   |    0.898    |
| 11949.0 |  -0.917  |     1.35    |
| 10980.0 |  -1.126  |    1.563    |
| 11213.0 |  -1.384  |    1.238    |
| 10962.0 |  0.444   |    3.177    |
| 10863.0 |  0.262   |    1.413    |
| 10618.0 |  -1.219  |    2.254    |
| 10707.0 |  -0.524  |    2.909    |
| 11190.0 |  -0.411  |    2.725    |
| 10334.0 |  0.656   |    2.556    |
| 11305.0 |  -0.194  |    2.639    |
| 10371.0 |  -1.472  |    2.155    |
| 11251.0 |  0.773   |    2.401    |
|  9896.0 |  -1.28   |    1.835    |
| 11089.0 |  1.677   |    1.944    |
| 11021.0 |  0.209   |    1.611    |
+---------+----------+-------------+
* Plume height above sea level
