Sim. cycle     : 1003
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 10:00:00
Runtime  start : 2021-03-04 09:00:00
Runtime  end   : 2021-03-04 10:00:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 6725.0 |  -0.189  |    2.019    |
| 7507.0 |   0.88   |    3.221    |
| 6260.0 |  1.817   |     2.12    |
| 6744.0 |  -1.016  |    1.262    |
| 5948.0 |  -0.405  |    1.443    |
| 6310.0 |  -1.25   |    1.518    |
| 6910.0 |  1.903   |    1.685    |
| 5355.0 |  0.218   |    1.375    |
| 6483.0 |  0.679   |     3.06    |
| 6855.0 |  -0.051  |    3.026    |
| 7005.0 |  0.029   |    1.353    |
| 6208.0 |  0.846   |    3.199    |
| 6053.0 |  0.369   |    2.366    |
| 6426.0 |  0.278   |    3.284    |
| 5800.0 |  -0.957  |    0.934    |
| 6115.0 |  1.377   |    2.279    |
| 6173.0 |  1.953   |     1.11    |
| 5991.0 |  -0.265  |    1.169    |
| 6591.0 |  -0.695  |    1.881    |
| 6530.0 |  0.554   |    2.815    |
| 6676.0 |  0.426   |    3.353    |
| 6323.0 |  1.547   |    3.409    |
| 6515.0 |  1.361   |    0.911    |
| 6291.0 |  0.125   |    2.657    |
| 7663.0 |  -0.486  |    3.451    |
| 6688.0 |  1.759   |    2.414    |
| 6226.0 |  0.476   |    1.751    |
| 7180.0 |  -0.337  |    2.912    |
| 7044.0 |  -0.926  |    0.823    |
| 6572.0 |   1.17   |    1.608    |
| 6359.0 |  0.637   |     2.5     |
| 5598.0 |  -1.488  |    2.067    |
| 7256.0 |  -0.106  |    2.619    |
| 6845.0 |  1.684   |    2.554    |
| 6922.0 |  1.613   |    3.137    |
| 6765.0 |  -1.396  |    1.213    |
| 6808.0 |  1.289   |    1.783    |
| 6973.0 |  0.043   |    2.935    |
| 5665.0 |  -1.211  |     2.17    |
| 6013.0 |  -0.855  |    0.972    |
| 6459.0 |  -1.102  |    2.239    |
| 6641.0 |  0.746   |    3.502    |
| 7105.0 |  -1.308  |    1.839    |
| 6106.0 |  1.479   |    1.025    |
| 6610.0 |  -0.638  |    3.596    |
| 5786.0 |  0.992   |    1.965    |
| 7329.0 |  -0.797  |    2.753    |
| 5863.0 |  1.085   |    2.426    |
| 6387.0 |  1.127   |    1.572    |
| 6411.0 |  -0.584  |    2.829    |
+--------+----------+-------------+
* Plume height above sea level
