Sim. cycle     : 6
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 14:30:00
Runtime  start : 2021-03-04 11:30:00
Runtime  end   : 2021-03-04 14:30:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 5618.0 |  0.116   |    1.489    |
| 5069.0 |  1.463   |    1.793    |
| 4219.0 |   1.52   |    0.855    |
| 4280.0 |  0.063   |    2.458    |
| 4581.0 |  -0.821  |    1.698    |
| 5277.0 |  1.342   |    2.764    |
| 5727.0 |  -0.667  |    2.671    |
| 4517.0 |  -0.477  |    3.278    |
| 5467.0 |  -0.147  |    2.839    |
| 6732.0 |  -1.004  |     1.89    |
| 5442.0 |  1.898   |    2.517    |
| 4457.0 |  1.206   |    1.977    |
| 4900.0 |  -0.346  |    2.291    |
| 4090.0 |  -1.296  |    1.166    |
| 4788.0 |  -1.075  |    2.985    |
| 4837.0 |  0.496   |     3.48    |
| 4732.0 |  0.558   |    0.974    |
| 5571.0 |  -0.279  |    2.111    |
| 5662.0 |   1.29   |    3.557    |
| 5356.0 |  -0.019  |    2.062    |
| 5843.0 |  1.646   |     3.42    |
| 4893.0 |  0.864   |     2.34    |
| 5036.0 |  0.379   |    1.051    |
| 4498.0 |  1.386   |    1.449    |
| 5179.0 |  1.027   |    3.354    |
| 4550.0 |  1.131   |    3.233    |
| 4798.0 |  1.821   |    1.123    |
| 4757.0 |  -0.753  |    2.945    |
| 5516.0 |   0.69   |    1.673    |
| 4666.0 |  0.924   |    3.145    |
| 5102.0 |  -0.039  |    3.062    |
| 5340.0 |  0.979   |     3.49    |
| 5400.0 |  -0.617  |    0.953    |
| 4941.0 |  1.939   |    1.303    |
| 5142.0 |  1.757   |    0.898    |
| 5949.0 |  -0.917  |     1.35    |
| 4980.0 |  -1.126  |    1.563    |
| 5213.0 |  -1.384  |    1.238    |
| 4962.0 |  0.444   |    3.177    |
| 4863.0 |  0.262   |    1.413    |
| 4618.0 |  -1.219  |    2.254    |
| 4707.0 |  -0.524  |    2.909    |
| 5190.0 |  -0.411  |    2.725    |
| 4334.0 |  0.656   |    2.556    |
| 5305.0 |  -0.194  |    2.639    |
| 4371.0 |  -1.472  |    2.155    |
| 5251.0 |  0.773   |    2.401    |
| 3896.0 |  -1.28   |    1.835    |
| 5089.0 |  1.677   |    1.944    |
| 5021.0 |  0.209   |    1.611    |
+--------+----------+-------------+
* Plume height above sea level
