Sim. cycle     : 2001
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 10:20:00
Runtime  start : 2021-03-04 09:20:00
Runtime  end   : 2021-03-04 10:20:00

Meteo data : 50
Eruptive scenarios : 50
+---------+----------+-------------+
|  H [m]* | MU [phi] | SIGMA [phi] |
+---------+----------+-------------+
| 11462.0 |  0.328   |    2.204    |
| 11269.0 |  1.221   |    3.449    |
| 12164.0 |  0.237   |    2.564    |
| 10928.0 |  -1.06   |     1.51    |
| 10645.0 |  -0.829  |     1.17    |
| 11594.0 |  0.592   |    1.882    |
| 10692.0 |   0.65   |    1.364    |
| 10657.0 |  1.863   |    3.152    |
| 10562.0 |  1.539   |    1.598    |
| 11374.0 |  1.604   |    2.802    |
| 10975.0 |  -0.456  |    2.184    |
| 10710.0 |  1.686   |    1.307    |
| 11728.0 |  0.413   |    2.036    |
| 10815.0 |  1.363   |    0.865    |
| 10466.0 |  -0.653  |    2.755    |
| 11066.0 |  0.096   |    1.669    |
| 11034.0 |  -0.01   |    1.802    |
| 10434.0 |  1.788   |    0.841    |
| 10883.0 |  -0.081  |    2.099    |
| 11298.0 |  -0.581  |    3.058    |
| 11799.0 |  -0.244  |    2.409    |
| 11450.0 |  0.812   |    3.014    |
| 10852.0 |  1.155   |    1.259    |
| 10131.0 |   1.5    |    2.523    |
| 11083.0 |  1.386   |    1.109    |
| 11243.0 |  0.483   |    2.973    |
| 10521.0 |  -1.129  |    1.556    |
| 11911.0 |  -1.289  |     3.56    |
| 11117.0 |  -0.99   |     3.22    |
| 10757.0 |  -0.367  |     1.75    |
| 11130.0 |  -0.788  |    0.946    |
| 11392.0 |  0.979   |    1.022    |
| 10908.0 |  1.292   |    1.813    |
| 11532.0 |   0.77   |    1.034    |
| 11209.0 |  0.164   |    2.832    |
| 10350.0 |  -0.167  |    2.316    |
| 10975.0 |  -1.299  |    2.593    |
| 11327.0 |  1.934   |     3.43    |
| 10781.0 |  -0.175  |    1.966    |
| 10601.0 |  0.916   |    2.684    |
| 10277.0 |  -0.885  |     3.12    |
| 11660.0 |  0.724   |    2.304    |
| 10370.0 |  1.025   |    1.213    |
| 11168.0 |  -1.205  |    3.317    |
| 11018.0 |  -0.662  |    2.917    |
| 11564.0 |  -1.433  |     2.45    |
| 10074.0 |  -1.419  |    3.359    |
| 10837.0 |  1.825   |    3.522    |
|  9784.0 |  0.304   |    2.006    |
| 11193.0 |  -0.428  |    1.461    |
+---------+----------+-------------+
* Plume height above sea level
