Sim. cycle     : 1008
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 17:20:00
Runtime  start : 2021-03-04 14:20:00
Runtime  end   : 2021-03-04 17:20:00

Meteo data : 50
Eruptive scenarios : 50
+---------+----------+-------------+
|  H [m]* | MU [phi] | SIGMA [phi] |
+---------+----------+-------------+
| 11067.0 |  0.928   |    2.308    |
| 10538.0 |   1.26   |    1.822    |
| 10719.0 |  0.548   |    3.107    |
| 11029.0 |  -1.053  |    2.689    |
| 10470.0 |  1.167   |    3.418    |
|  9708.0 |  -0.948  |    2.386    |
| 11849.0 |  -1.37   |    1.807    |
| 10978.0 |  0.121   |    1.076    |
| 10605.0 |  -1.454  |    1.746    |
| 11143.0 |  1.389   |    2.858    |
| 11124.0 |  -0.728  |    0.878    |
| 11181.0 |  0.709   |    1.615    |
| 10373.0 |  1.709   |    1.405    |
| 11535.0 |  -0.239  |    1.217    |
| 10902.0 |  1.049   |    1.013    |
| 10617.0 |  0.848   |    3.169    |
| 10659.0 |  1.957   |    1.303    |
| 11173.0 |  -0.037  |    1.444    |
| 11290.0 |  0.104   |    3.242    |
| 11441.0 |  1.133   |    1.528    |
| 10838.0 |  0.615   |    3.516    |
| 10815.0 |  0.003   |    2.634    |
| 10076.0 |  1.567   |    2.222    |
| 11214.0 |  0.984   |    1.664    |
| 11672.0 |  -0.628  |    1.306    |
| 10937.0 |  -1.351  |    3.474    |
| 11764.0 |  -0.294  |    1.572    |
| 10761.0 |  -0.867  |    2.546    |
| 10303.0 |  0.507   |    2.061    |
| 11996.0 |  1.357   |    0.918    |
| 10219.0 |  0.222   |    1.161    |
| 10708.0 |   -1.2   |    2.313    |
| 11101.0 |  -0.445  |    1.982    |
| 11492.0 |  0.289   |    2.878    |
| 10437.0 |  -0.933  |    2.993    |
| 10768.0 |  1.837   |    2.454    |
| 10854.0 |  -0.524  |    1.938    |
| 10274.0 |  1.486   |    3.294    |
| 11623.0 |  -0.491  |    2.149    |
| 12054.0 |  0.339   |    3.367    |
| 11575.0 |  -0.165  |    1.918    |
| 11358.0 |  -1.224  |    2.535    |
| 11416.0 |  -1.095  |    3.082    |
| 10886.0 |  -0.344  |    1.126    |
| 11345.0 |  0.762   |    2.768    |
| 11302.0 |  1.606   |     2.09    |
| 11009.0 |  -0.754  |    0.845    |
| 11237.0 |  1.721   |    2.709    |
| 10965.0 |  0.425   |     3.58    |
| 10559.0 |  1.893   |     2.96    |
+---------+----------+-------------+
* Plume height above sea level
