Sim. cycle     : 1007
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 14:20:00
Runtime  start : 2021-03-04 11:20:00
Runtime  end   : 2021-03-04 14:20:00

Meteo data : 50
Eruptive scenarios : 50
+---------+----------+-------------+
|  H [m]* | MU [phi] | SIGMA [phi] |
+---------+----------+-------------+
| 10601.0 |  0.919   |    1.429    |
| 11018.0 |  -0.084  |    1.677    |
| 10491.0 |  0.005   |    1.275    |
| 11267.0 |  1.716   |     3.21    |
| 11646.0 |  1.114   |    2.629    |
| 11379.0 |  -1.496  |     2.15    |
| 10336.0 |  1.748   |    2.127    |
| 10844.0 |  -1.003  |    1.224    |
| 10769.0 |  -0.42   |    2.516    |
| 11307.0 |  1.338   |    3.551    |
| 10641.0 |  1.225   |    1.394    |
| 11141.0 |  1.929   |    3.198    |
| 11832.0 |   0.16   |    0.929    |
| 10654.0 |  -0.336  |    2.215    |
| 11197.0 |  -1.34   |    0.985    |
| 11940.0 |  -1.067  |    1.813    |
| 11400.0 |  -0.873  |    3.401    |
| 11055.0 |  1.826   |    1.898    |
| 10928.0 |  1.027   |    1.793    |
| 11084.0 |  0.861   |    1.495    |
| 10284.0 |   0.81   |    0.852    |
|  9958.0 |  -0.831  |    2.674    |
| 10914.0 |  1.241   |    3.351    |
| 11167.0 |   0.29   |    2.055    |
| 11000.0 |  -1.17   |    1.306    |
| 10572.0 |  0.326   |    2.555    |
| 11577.0 |  -0.225  |    1.599    |
| 10848.0 |  0.089   |     1.09    |
| 11345.0 |  1.414   |    3.101    |
| 12074.0 |  -1.423  |    1.942    |
| 11455.0 |  0.586   |     3.04    |
| 11222.0 |  -0.733  |    2.437    |
| 11027.0 |  0.998   |    0.883    |
| 10037.0 |  1.449   |    1.039    |
| 10887.0 |  -1.141  |    3.284    |
| 10716.0 |  0.465   |    3.087    |
| 10513.0 |  -0.298  |    1.548    |
| 11529.0 |  -0.125  |    2.031    |
| 10445.0 |  -0.527  |    2.325    |
| 10761.0 |  0.662   |    2.306    |
| 10153.0 |  -0.617  |    1.165    |
| 10382.0 |  0.413   |    2.758    |
| 10704.0 |   1.56   |    3.536    |
| 11724.0 |  0.693   |    3.483    |
| 11478.0 |  -0.668  |    2.909    |
| 10961.0 |  1.598   |    2.771    |
| 11103.0 |  1.995   |    2.397    |
| 11236.0 |  -0.465  |    2.941    |
| 11603.0 |  0.189   |    2.841    |
| 10810.0 |  -1.252  |    1.721    |
+---------+----------+-------------+
* Plume height above sea level
