Sim. cycle     : 1002
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 09:00:00
Runtime  start : 2021-03-04 08:00:00
Runtime  end   : 2021-03-04 09:00:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 6366.0 |  -0.419  |    3.394    |
| 6415.0 |  1.356   |    3.033    |
| 6453.0 |  0.736   |     1.88    |
| 7076.0 |  -1.405  |    3.173    |
| 5792.0 |  0.093   |    2.761    |
| 5446.0 |  0.576   |    3.141    |
| 6690.0 |  0.785   |    1.839    |
| 6325.0 |  1.423   |    1.168    |
| 5706.0 |  1.817   |    2.171    |
| 6721.0 |  1.469   |    3.433    |
| 7133.0 |  -0.763  |    0.872    |
| 7040.0 |  -0.539  |    1.099    |
| 6948.0 |  0.943   |    3.306    |
| 6623.0 |  -1.175  |    3.576    |
| 6794.0 |  -0.497  |    1.951    |
| 5588.0 |  0.113   |    2.278    |
| 6529.0 |  -0.281  |    2.873    |
| 6502.0 |  1.274   |    1.502    |
| 5961.0 |  -0.686  |    3.371    |
| 6149.0 |  -0.001  |    2.715    |
| 6832.0 |  -0.048  |    1.743    |
| 5931.0 |  1.657   |     1.99    |
| 5902.0 |  0.876   |    2.433    |
| 6267.0 |  -0.313  |     1.25    |
| 6566.0 |  1.997   |    1.063    |
| 6044.0 |  1.068   |    1.762    |
| 6014.0 |  1.149   |    2.396    |
| 7186.0 |  -1.448  |    2.618    |
| 6224.0 |  -1.073  |    2.935    |
| 6313.0 |  -0.899  |    0.996    |
| 6668.0 |  1.866   |     2.67    |
| 6084.0 |  0.504   |    2.227    |
| 6585.0 |  -0.977  |     2.82    |
| 6964.0 |  1.778   |    2.315    |
| 8045.0 |  -0.124  |     2.09    |
| 7363.0 |  0.434   |    3.056    |
| 6629.0 |  -0.623  |    1.222    |
| 6198.0 |  -1.303  |     3.26    |
| 6910.0 |  1.534   |    2.568    |
| 6880.0 |  0.284   |    1.324    |
| 7508.0 |  -0.812  |    1.421    |
| 6434.0 |   0.35   |    1.403    |
| 6764.0 |   1.18   |    2.033    |
| 6398.0 |  -0.222  |    1.644    |
| 6496.0 |  0.645   |    0.961    |
| 6121.0 |  -1.088  |    0.839    |
| 6761.0 |  0.957   |    2.481    |
| 5848.0 |  -1.254  |    1.629    |
| 6246.0 |   1.61   |    1.583    |
| 7238.0 |  0.229   |    3.506    |
+--------+----------+-------------+
* Plume height above sea level
