Sim. cycle     : 3
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 05:30:00
Runtime  start : 2021-03-04 04:30:00
Runtime  end   : 2021-03-04 05:30:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 5225.0 |  -0.189  |    2.019    |
| 6007.0 |   0.88   |    3.221    |
| 4760.0 |  1.817   |     2.12    |
| 5244.0 |  -1.016  |    1.262    |
| 4448.0 |  -0.405  |    1.443    |
| 4810.0 |  -1.25   |    1.518    |
| 5410.0 |  1.903   |    1.685    |
| 3855.0 |  0.218   |    1.375    |
| 4983.0 |  0.679   |     3.06    |
| 5355.0 |  -0.051  |    3.026    |
| 5505.0 |  0.029   |    1.353    |
| 4708.0 |  0.846   |    3.199    |
| 4553.0 |  0.369   |    2.366    |
| 4926.0 |  0.278   |    3.284    |
| 4300.0 |  -0.957  |    0.934    |
| 4615.0 |  1.377   |    2.279    |
| 4673.0 |  1.953   |     1.11    |
| 4491.0 |  -0.265  |    1.169    |
| 5091.0 |  -0.695  |    1.881    |
| 5030.0 |  0.554   |    2.815    |
| 5176.0 |  0.426   |    3.353    |
| 4823.0 |  1.547   |    3.409    |
| 5015.0 |  1.361   |    0.911    |
| 4791.0 |  0.125   |    2.657    |
| 6163.0 |  -0.486  |    3.451    |
| 5188.0 |  1.759   |    2.414    |
| 4726.0 |  0.476   |    1.751    |
| 5680.0 |  -0.337  |    2.912    |
| 5544.0 |  -0.926  |    0.823    |
| 5072.0 |   1.17   |    1.608    |
| 4859.0 |  0.637   |     2.5     |
| 4098.0 |  -1.488  |    2.067    |
| 5756.0 |  -0.106  |    2.619    |
| 5345.0 |  1.684   |    2.554    |
| 5422.0 |  1.613   |    3.137    |
| 5265.0 |  -1.396  |    1.213    |
| 5308.0 |  1.289   |    1.783    |
| 5473.0 |  0.043   |    2.935    |
| 4165.0 |  -1.211  |     2.17    |
| 4513.0 |  -0.855  |    0.972    |
| 4959.0 |  -1.102  |    2.239    |
| 5141.0 |  0.746   |    3.502    |
| 5605.0 |  -1.308  |    1.839    |
| 4606.0 |  1.479   |    1.025    |
| 5110.0 |  -0.638  |    3.596    |
| 4286.0 |  0.992   |    1.965    |
| 5829.0 |  -0.797  |    2.753    |
| 4363.0 |  1.085   |    2.426    |
| 4887.0 |  1.127   |    1.572    |
| 4911.0 |  -0.584  |    2.829    |
+--------+----------+-------------+
* Plume height above sea level
