Sim. cycle     : 1
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 03:30:00
Runtime  start : 2021-03-04 02:30:00
Runtime  end   : 2021-03-04 03:30:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 5462.0 |  0.328   |    2.204    |
| 5269.0 |  1.221   |    3.449    |
| 6164.0 |  0.237   |    2.564    |
| 4928.0 |  -1.06   |     1.51    |
| 4645.0 |  -0.829  |     1.17    |
| 5594.0 |  0.592   |    1.882    |
| 4692.0 |   0.65   |    1.364    |
| 4657.0 |  1.863   |    3.152    |
| 4562.0 |  1.539   |    1.598    |
| 5374.0 |  1.604   |    2.802    |
| 4975.0 |  -0.456  |    2.184    |
| 4710.0 |  1.686   |    1.307    |
| 5728.0 |  0.413   |    2.036    |
| 4815.0 |  1.363   |    0.865    |
| 4466.0 |  -0.653  |    2.755    |
| 5066.0 |  0.096   |    1.669    |
| 5034.0 |  -0.01   |    1.802    |
| 4434.0 |  1.788   |    0.841    |
| 4883.0 |  -0.081  |    2.099    |
| 5298.0 |  -0.581  |    3.058    |
| 5799.0 |  -0.244  |    2.409    |
| 5450.0 |  0.812   |    3.014    |
| 4852.0 |  1.155   |    1.259    |
| 4131.0 |   1.5    |    2.523    |
| 5083.0 |  1.386   |    1.109    |
| 5243.0 |  0.483   |    2.973    |
| 4521.0 |  -1.129  |    1.556    |
| 5911.0 |  -1.289  |     3.56    |
| 5117.0 |  -0.99   |     3.22    |
| 4757.0 |  -0.367  |     1.75    |
| 5130.0 |  -0.788  |    0.946    |
| 5392.0 |  0.979   |    1.022    |
| 4908.0 |  1.292   |    1.813    |
| 5532.0 |   0.77   |    1.034    |
| 5209.0 |  0.164   |    2.832    |
| 4350.0 |  -0.167  |    2.316    |
| 4975.0 |  -1.299  |    2.593    |
| 5327.0 |  1.934   |     3.43    |
| 4781.0 |  -0.175  |    1.966    |
| 4601.0 |  0.916   |    2.684    |
| 4277.0 |  -0.885  |     3.12    |
| 5660.0 |  0.724   |    2.304    |
| 4370.0 |  1.025   |    1.213    |
| 5168.0 |  -1.205  |    3.317    |
| 5018.0 |  -0.662  |    2.917    |
| 5564.0 |  -1.433  |     2.45    |
| 4074.0 |  -1.419  |    3.359    |
| 4837.0 |  1.825   |    3.522    |
| 3784.0 |  0.304   |    2.006    |
| 5193.0 |  -0.428  |    1.461    |
+--------+----------+-------------+
* Plume height above sea level
